order_id,line_no,full_date,year,month,product_name,category,store_name,province,region,quantity,unit_price,amount
E00001,1,2026-08-14,2026,2026-08,Tea,Drink,Bangsaen,Chonburi,East,3,50,150
E00002,1,2026-10-02,2026,2026-10,Cookie,Snack,Siam,Bangkok,Central,5,80,400
E00002,2,2026-10-02,2026,2026-10,Tea,Drink,Siam,Bangkok,Central,2,50,100
E00002,3,2026-10-02,2026,2026-10,Sandwich,Food,Siam,Bangkok,Central,5,100,500
E00003,1,2026-10-05,2026,2026-10,Cookie,Snack,Nimman,Chiang Mai,North,2,80,160
E00004,1,2026-10-14,2026,2026-10,Cookie,Snack,Muang Rayong,Rayong,East,4,80,320
E00004,2,2026-10-14,2026,2026-10,Brownie,Snack,Muang Rayong,Rayong,East,2,90,180
E00005,1,2026-08-13,2026,2026-08,Tea,Drink,Ari,Bangkok,Central,5,50,250
E00006,1,2026-08-21,2026,2026-08,Sandwich,Food,Ari,Bangkok,Central,4,100,400
E00006,2,2026-08-21,2026,2026-08,Cocoa,Drink,Ari,Bangkok,Central,1,60,60
E00006,3,2026-08-21,2026,2026-08,Coffee,Drink,Ari,Bangkok,Central,4,65,260
E00007,1,2026-10-22,2026,2026-10,Sandwich,Food,Pattaya,Chonburi,East,5,100,500
E00007,2,2026-10-22,2026,2026-10,Cookie,Snack,Pattaya,Chonburi,East,1,80,80
E00008,1,2026-10-14,2026,2026-10,Cookie,Snack,Siam,Bangkok,Central,2,80,160
E00009,1,2026-09-27,2026,2026-09,Tea,Drink,Nimman,Chiang Mai,North,5,50,250
E00010,1,2026-09-15,2026,2026-09,Brownie,Snack,Ari,Bangkok,Central,3,90,270
E00010,2,2026-09-15,2026,2026-09,Tea,Drink,Ari,Bangkok,Central,2,50,100
E00011,1,2026-08-05,2026,2026-08,Sandwich,Food,Siam,Bangkok,Central,2,100,200
E00011,2,2026-08-05,2026,2026-08,Brownie,Snack,Siam,Bangkok,Central,3,90,270
E00011,3,2026-08-05,2026,2026-08,Cookie,Snack,Siam,Bangkok,Central,2,80,160
E00012,1,2026-08-22,2026,2026-08,Coffee,Drink,Nimman,Chiang Mai,North,3,65,195
E00013,1,2026-09-06,2026,2026-09,Cookie,Snack,Siam,Bangkok,Central,4,80,320
E00013,2,2026-09-06,2026,2026-09,Coffee,Drink,Siam,Bangkok,Central,4,65,260
E00014,1,2026-10-14,2026,2026-10,Tea,Drink,Ari,Bangkok,Central,3,50,150
E00014,2,2026-10-14,2026,2026-10,Brownie,Snack,Ari,Bangkok,Central,2,90,180
E00014,3,2026-10-14,2026,2026-10,Sandwich,Food,Ari,Bangkok,Central,2,100,200
