order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status
O0001,C021,P012,2026/08/02,4,686.96,0,paid
O0002,C018,P014,2026/08/02,1,586.17,5,completed
O0003,C042,P013,01/08/2026,1,1390.08,10,pending
O0004,C013,P001,01/08/2026,3,996.79,0,paid
O0005,C041,P002,2026-08-01,4,757.5,5,paid
O0006,C044,P004,03-Aug-2026,2,390.89,5,PAID
O0007,C046,P001,2026-08-04,-2,996.79,0,PAID
O0008,C015,P005,2026-08-04,3,1299.0,0,pending
O0009,C055,P013,2026-08-01,2,1390.08,10,pending
O0010,C009,P008,01/08/2026,4,330.64,0,pending
O0011,C036,P010,03-Aug-2026,3,1072.6,5,PAID
O0012,C007,P012,01/08/2026,1,686.96,0,pending
O0013,C006,P005,2026/08/02,3,1299.0,0,completed
O0014,C033,P002,03-Aug-2026,1,757.5,5,cancelled
O0015,C027,P013,03-Aug-2026,3,1390.08,0,PAID
O0016,C052,P014,03-Aug-2026,1,586.17,0,PAID
O0017,C035,P006,03-Aug-2026,2,1322.8,0,cancelled
O0018,C058,P012,03-Aug-2026,4,686.96,0,PAID
O0019,C029,P009,2026-08-04,3,754.77,0,cancelled
O0020,C033,P014,2026/08/02,3,586.17,10,cancelled
O0021,C014,P005,2026-08-04,2,1299.0,150,cancelled
O0022,C032,P004,2026-08-04,4,390.89,0,cancelled
O0023,C001,P010,2026-08-01,4,1072.6,0,cancelled
O0024,C059,P007,03-Aug-2026,1,344.97,0,PAID
O0025,C005,P015,03-Aug-2026,4,750.94,10,completed
O0026,C016,P008,01/08/2026,4,330.64,5,pending
O0027,C058,P014,2026-08-04,4,586.17,5,paid
O0028,C013,P007,2026/08/02,1,344.97,0,paid
O0029,C003,P004,01/08/2026,2,390.89,0,completed
O0030,C021,P012,01/08/2026,3,686.96,10,paid
O0031,C032,P012,2026-08-04,1,686.96,5,PAID
O0032,C045,P009,2026-08-01,4,754.77,10,pending
O0033,C053,P009,2026-08-04,2,754.77,0,cancelled
O0034,C041,P004,not-a-date,2,390.89,0,PAID
O0035,C059,P012,01/08/2026,3,686.96,5,cancelled
O0036,C021,P015,01/08/2026,2,750.94,0,paid
O0037,C009,P015,01/08/2026,2,750.94,0,completed
O0038,C025,P002,03-Aug-2026,4,757.5,0,PAID
O0039,C026,P011,2026-08-01,1,1236.35,0,cancelled
O0040,C044,P006,2026-08-01,3,1322.8,5,cancelled
O0041,C044,P014,2026-08-01,2,586.17,10,paid
O0042,C002,P001,01/08/2026,4,996.79,0,PAID
O0043,C008,P004,01/08/2026,2,390.89,5,paid
O0044,C038,P001,03-Aug-2026,2,996.79,0,paid
O0045,C021,P007,03-Aug-2026,4,344.97,5,pending
O0046,C014,P010,2026-08-01,3,1072.6,0,PAID
O0047,C012,P007,2026/08/02,4,344.97,5,pending
O0048,C059,P004,2026-08-01,2,390.89,0,completed
O0049,C999,P002,2026-08-04,4,757.5,0,cancelled
O0050,C038,P006,2026/08/02,3,1322.8,0,PAID
O0051,C053,P015,01/08/2026,4,750.94,5,cancelled
O0052,C045,P006,01/08/2026,4,1322.8,10,PAID
O0053,C047,P003,2026/08/02,1,503.9,5,pending
O0054,C007,P001,2026-08-04,3,996.79,0,PAID
O0055,C018,P011,2026/08/02,3,1236.35,0,pending
O0056,C037,P003,03-Aug-2026,1,503.9,10,PAID
O0057,C045,P002,2026-08-04,4,757.5,0,paid
O0058,C040,P002,2026/08/02,2,757.5,10,pending
O0059,C033,P001,03-Aug-2026,2,996.79,0,paid
O0060,C017,P005,2026/08/02,3,1299.0,10,cancelled
O0061,C037,P014,03-Aug-2026,1,586.17,0,cancelled
O0062,C039,P011,03-Aug-2026,1,1236.35,0,pending
O0063,C031,P003,2026-08-04,4,503.9,0,pending
O0064,C032,P007,2026-08-04,3,344.97,10,cancelled
O0065,C020,P006,03-Aug-2026,3,1322.8,5,cancelled
O0066,C060,P005,2026-08-01,3,1299.0,0,PAID
O0067,C038,P001,03-Aug-2026,2,996.79,10,paid
O0068,C058,P006,2026-08-01,4,1322.8,5,paid
O0069,C052,P015,03-Aug-2026,2,750.94,10,completed
O0070,C049,P004,2026-08-04,1,390.89,0,pending
O0071,C010,P014,2026-08-04,2,586.17,0,paid
O0072,C040,P007,2026-08-01,4,344.97,0,paid
O0073,C023,P009,2026-08-01,2,754.77,5,pending
O0074,C009,P011,03-Aug-2026,4,1236.35,5,cancelled
O0075,C044,P007,2026-08-04,3,344.97,0,completed
O0076,C047,P999,03-Aug-2026,2,503.9,0,cancelled
O0077,C058,P005,2026/08/02,3,1299.0,5,cancelled
O0078,C044,P012,2026/08/02,2,686.96,0,PAID
O0079,C016,P009,2026-08-01,2,754.77,0,paid
O0080,C018,P005,2026-08-01,4,1299.0,0,paid
O0081,C015,P009,2026-08-01,3,754.77,0,PAID
O0082,C036,P004,03-Aug-2026,3,390.89,10,completed
O0083,C014,P006,03-Aug-2026,3,1322.8,0,paid
O0084,C052,P002,2026-08-04,4,757.5,0,pending
O0085,C028,P012,03-Aug-2026,3,686.96,0,completed
O0086,C010,P011,2026/08/02,3,1236.35,0,pending
O0087,C042,P006,03-Aug-2026,1,1322.8,5,paid
O0088,C035,P002,2026-08-04,4,757.5,10,pending
O0089,C020,P014,2026-08-01,1,586.17,5,PAID
O0090,C059,P011,2026/08/02,1,1236.35,10,completed
O0091,C019,P015,01/08/2026,2,-100.0,5,completed
O0092,C024,P015,2026/08/02,1,750.94,10,cancelled
O0093,C039,P015,03-Aug-2026,3,750.94,5,pending
O0094,C021,P004,2026-08-04,4,390.89,0,paid
O0095,C024,P014,2026-08-01,3,586.17,5,pending
O0096,C038,P007,2026-08-04,2,344.97,5,pending
O0097,C035,P003,01/08/2026,2,503.9,0,pending
O0098,C057,P014,2026-08-01,3,586.17,0,cancelled
O0099,C004,P009,2026-08-04,2,754.77,5,paid
O0100,C042,P014,2026-08-01,4,586.17,5,cancelled
O0101,C006,P006,2026/08/02,1,1322.8,0,completed
O0102,C006,P001,2026-08-01,2,996.79,10,PAID
O0103,C046,P004,2026-08-04,4,390.89,5,pending
O0104,C026,P006,2026/08/02,3,1322.8,0,pending
O0105,C032,P009,2026-08-04,1,754.77,0,pending
O0106,C049,P014,2026-08-01,3,586.17,10,paid
O0107,C057,P008,2026-08-04,1,330.64,5,paid
O0108,C052,P002,03-Aug-2026,4,757.5,0,PAID
O0109,C048,P003,01/08/2026,4,503.9,5,PAID
O0110,C025,P007,2026/08/02,3,344.97,0,pending
O0111,C020,P012,2026/08/02,1,686.96,0,PAID
O0112,C059,P001,2026-08-01,4,996.79,10,paid
O0113,C021,P002,01/08/2026,2,757.5,5,PAID
O0114,C038,P004,2026-08-04,4,390.89,0,pending
O0115,C012,P015,03-Aug-2026,3,750.94,0,completed
O0116,C041,P009,2026/08/02,4,754.77,10,pending
O0117,C059,P006,03-Aug-2026,1,1322.8,0,pending
O0118,C004,P004,03-Aug-2026,2,390.89,5,paid
O0119,C043,P015,2026-08-01,2,750.94,10,completed
O0120,C029,P013,03-Aug-2026,2,1390.08,0,pending
O0121,C011,P013,01/08/2026,3,1390.08,5,cancelled
O0122,C009,P011,2026-08-04,3,1236.35,0,PAID
O0123,C037,P013,2026-08-01,2,1390.08,0,PAID
O0124,C053,P003,2026/08/02,1,503.9,5,cancelled
O0125,C046,P009,03-Aug-2026,1,754.77,10,paid
O0126,C048,P010,2026-08-01,3,1072.6,0,pending
O0127,C013,P015,03-Aug-2026,1,750.94,0,paid
O0128,C035,P007,01/08/2026,4,344.97,5,completed
O0129,C020,P007,2026-08-04,1,344.97,5,pending
O0130,C043,P012,2026/08/02,1,686.96,0,PAID
O0131,C007,P011,03-Aug-2026,4,1236.35,0,pending
O0132,C001,P014,03-Aug-2026,4,586.17,0,completed
O0133,C037,P002,2026-08-01,4,757.5,0,cancelled
O0134,C010,P005,2026-08-04,4,1299.0,5,completed
O0135,C049,P007,2026/08/02,1,344.97,0,PAID
O0136,C025,P012,2026/08/02,1,686.96,5,completed
O0137,C037,P008,03-Aug-2026,3,330.64,10,paid
O0138,C007,P003,01/08/2026,1,503.9,0,PAID
O0139,C013,P007,03-Aug-2026,1,344.97,0,paid
O0140,C015,P001,2026-08-01,2,996.79,10,pending
O0141,C050,P002,03-Aug-2026,3,757.5,0,PAID
O0142,C050,P003,03-Aug-2026,4,503.9,5,pending
O0143,C040,P001,2026-08-04,4,996.79,5,PAID
O0144,C043,P010,2026/08/02,1,1072.6,5,PAID
O0145,C022,P005,2026-08-01,4,1299.0,10,PAID
O0146,C033,P006,2026-08-01,3,1322.8,0,completed
O0147,C050,P009,2026-08-04,3,754.77,0,completed
O0148,C040,P009,2026-08-04,2,754.77,0,cancelled
O0149,C046,P012,2026-08-04,2,686.96,0,PAID
O0150,C050,P002,01/08/2026,2,757.5,10,cancelled
O0151,C027,P012,2026/08/02,3,686.96,0,completed
O0152,C018,P008,03-Aug-2026,1,330.64,0,PAID
O0153,C058,P010,2026-08-04,1,1072.6,5,PAID
O0154,C059,P012,2026-08-04,3,686.96,0,paid
O0155,C060,P014,2026/08/02,1,586.17,5,PAID
O0156,C049,P010,01/08/2026,3,1072.6,0,cancelled
O0157,C036,P013,03-Aug-2026,1,1390.08,0,pending
O0158,C012,P013,2026/08/02,2,1390.08,10,cancelled
O0159,C038,P011,01/08/2026,1,1236.35,0,pending
O0160,C030,P001,2026-08-04,2,996.79,10,paid
O0161,C037,P007,2026/08/02,2,344.97,0,completed
O0162,C016,P010,2026-08-01,3,1072.6,0,PAID
O0163,C026,P008,03-Aug-2026,1,330.64,5,pending
O0164,C058,P010,2026/08/02,4,1072.6,10,pending
O0165,C054,P015,03-Aug-2026,4,750.94,0,cancelled
O0166,C008,P015,2026-08-04,3,750.94,10,pending
O0167,C058,P001,2026-08-01,3,996.79,5,cancelled
O0168,C058,P007,2026-08-04,4,344.97,5,completed
O0169,C057,P010,01/08/2026,1,1072.6,0,pending
O0170,C016,P009,2026-08-01,4,754.77,10,paid
O0171,C034,P015,2026-08-04,2,750.94,5,pending
O0172,C016,P015,2026/08/02,1,750.94,10,cancelled
O0173,C052,P003,03-Aug-2026,2,503.9,0,paid
O0174,C007,P009,2026-08-01,2,754.77,10,paid
O0175,C019,P004,2026-08-01,3,390.89,5,PAID
O0176,C005,P008,2026-08-04,4,330.64,10,PAID
O0177,C023,P012,2026-08-01,2,686.96,5,paid
O0178,C030,P015,2026/08/02,3,750.94,5,pending
O0179,C010,P015,01/08/2026,4,750.94,0,completed
O0180,C055,P015,01/08/2026,1,750.94,5,completed
O0011,C036,P010,03-Aug-2026,3,1072.6,5,PAID
O0041,C044,P014,2026-08-01,2,586.17,10,paid
O0101,C006,P006,2026/08/02,1,1322.8,0,completed
