order_id,order_date,customer_id,product_id,quantity,unit_price,discount,channel
ORD000001,2026-01-08 17:11:00,C0158,P039,2,940.5,0.0,Marketplace
ORD000002,2026-01-12 20:13:00,C0123,P038,1,12900,0.1,Mobile App
ORD000003,2026-01-26 14:00:00,C0119,P031,3,1415.5,0.05,Web
ORD000004,2026-01-18 16:18:00,C0065,P003,2,25900,0.0,Mobile App
ORD000005,2026-01-08 17:43:00,C0129,P007,2,23310.0,0.05,Mobile App
ORD000006,2026-01-23 11:50:00,C0097,P037,2,27195.0,0.0,Mobile App
ORD000007,2026-01-24 07:03:00,C0139,P001,1,284.05,0.0,Web
ORD000008,2026-01-12 16:02:00,C0060,P013,-1,523.95,0.05,Mobile App
ORD000009,2026-01-16 04:12:00,C0162,P017,1,990,0.05,Web
ORD000010,2026-01-07 03:12:00,C0100,P017,2,990,0.1,Mobile App
ORD000011,2026-01-12 14:34:00,C0120,P028,2,313.95,0.0,Web
ORD000012,2026-01-08 22:35:00,C0141,P008,2,449.1,0.05,Marketplace
ORD000013,2026-01-27 22:41:00,C0110,P002,2,1341.0,0.0,Mobile App
ORD000014,2026-01-20 07:11:00,C0142,P017,4,990,0.0,Marketplace
ORD000015,2026-01-04 13:47:00,C0151,P018,2,4189.5,0.0,Web
ORD000016,2026-01-18 06:47:00,C0072,P006,1,313.95,0.0,Mobile App
ORD000017,2026-01-27 00:37:00,C0048,P019,2,3591.0,0.0,Mobile App
ORD000018,2026-01-05 02:59:00,C0037,P001,3,299,0.0,Marketplace
ORD000019,2026-01-14 22:23:00,C0159,P019,1,4189.5,0.1,Web
ORD000020,2026-01-08 21:53:00,C0115,P007,1,25900,0.0,Web
ORD000021,2026-01-18 02:04:00,C0007,P007,1,27195.0,0.05,Web
ORD000022,2026-01-15 07:54:00,C0049,P999,2,499,0.0,Marketplace
ORD000023,2026-01-10 02:59:00,C0071,P034,1,299,0.1,Web
ORD000024,2026-01-28 11:43:00,C0042,P033,1,13545.0,0.0,Marketplace
ORD000025,2026-01-07 13:04:00,C0079,P011,1,25900,0.0,Web
ORD000026,2026-01-04 19:15:00,C0107,P008,1,499,0.0,Mobile App
ORD000027,2026-01-23 14:12:00,C0143,P019,2,3790.5,0.1,Web
ORD000028,2026-01-08 05:59:00,C0139,P013,4,523.95,0.0,Mobile App
ORD000029,2026-01-09 18:23:00,C0161,P028,1,269.1,0.1,Marketplace
ORD000030,2026-01-10 12:26:00,C0003,P006,1,299,0.05,Mobile App
ORD000031,2026-01-16 18:33:00,C0087,P027,1,24605.0,0.0,Web
ORD000032,2026-01-01 14:52:00,C0085,P035,1,25900,0.0,Mobile App
ORD000033,2026-01-13 17:23:00,C0164,P032,1,23310.0,0.05,Web
ORD000034,2026-01-24 06:21:00,C0044,P005,1,313.95,0.0,Web
ORD000035,2026-01-16 21:39:00,C0045,P033,3,12900,0.0,Marketplace
ORD000036,2026-01-21 10:30:00,C0043,P005,1,299,0.0,Mobile App
ORD000037,2026-01-20 00:56:00,C0108,P017,4,990,0.0,Web
ORD000038,2026-01-18 01:57:00,C0008,P009,1,284.05,0.05,Mobile App
ORD000039,2026-01-28 20:23:00,C0126,P004,2,1415.5,0.0,Marketplace
ORD000040,2026-01-15 23:19:00,C0086,P021,1,23310.0,0.0,Marketplace
ORD000041,2026-01-11 12:38:00,C0008,P034,2,284.05,0.0,Web
ORD000042,2026-01-21 15:59:00,C0114,P032,1,25900,0.0,Marketplace
ORD000043,2026-01-03 08:15:00,C0006,P018,1,3790.5,0.05,Web
ORD000044,2026-01-24 20:02:00,C0126,P022,2,,0.05,Mobile App
ORD000045,2026-01-16 19:17:00,C0068,P019,3,3990,0.0,Marketplace
ORD000046,2026-01-21 21:21:00,C0097,P026,2,12900,0.1,Mobile App
ORD000047,2026-01-01 07:56:00,C0100,P038,4,11610.0,0.0,Web
ORD000048,2026-01-13 07:59:00,C0040,P038,2,12900,0.0,Marketplace
ORD000049,2026-01-18 00:12:00,C0059,P019,1,3990,0.05,Mobile App
ORD000050,2026-01-09 02:38:00,C0067,P006,1,313.95,0.0,Web
ORD000051,2026-01-24 03:14:00,C0035,P039,4,990,0.0,Marketplace
ORD000052,2026-01-18 11:03:00,C0079,P035,1,23310.0,0.0,Mobile App
ORD000053,2026-01-16 20:25:00,C0113,P019,4,3990,0.05,Marketplace
ORD000054,2026-01-01 18:10:00,C0046,P035,1,25900,0.1,Marketplace
ORD000055,2026-01-07 14:06:00,C0132,P027,2,23310.0,0.0,Marketplace
ORD000056,2026-01-07 05:17:00,C0083,P017,1,990,0.0,Web
ORD000057,2026-01-20 22:46:00,C0054,P039,2,990,0.0,Marketplace
ORD000058,2026-01-16 05:55:00,C0096,P038,2,13545.0,0.05,Mobile App
ORD000059,2026-01-22 06:56:00,C0038,P005,1,284.05,0.0,Mobile App
ORD000060,2026-01-15 09:26:00,C0057,P005,1,299,0.1,Mobile App
ORD000061,2026-01-08 12:44:00,C0102,P023,2,313.95,0.1,Mobile App
ORD000062,2026-01-09 13:10:00,C0036,P020,3,499,0.0,Marketplace
ORD000063,2026-01-08 01:20:00,C0034,P025,3,27195.0,0.0,Marketplace
ORD000064,2026-01-07 21:17:00,C0152,P014,1,1039.5,0.1,Web
ORD000065,2026-01-20 12:44:00,C0160,P031,3,1490,0.0,Web
ORD000066,2026-01-25 12:56:00,C0162,P039,2,990,0.0,Web
ORD000067,2026-01-11 23:34:00,C0125,P035,1,25900,0.0,Mobile App
ORD000068,2026-01-15 21:59:00,C0052,P039,1,940.5,0.05,Mobile App
ORD000069,2026-01-09 12:18:00,C0081,P039,1,1039.5,0.0,Web
ORD000070,2026-01-28 09:39:00,C0069,P014,4,1039.5,0.0,Marketplace
ORD000071,2026-01-01 22:56:00,C0021,P008,1,523.95,0.0,Web
ORD000072,2026-01-24 22:09:00,C0028,P032,4,23310.0,0.05,Mobile App
ORD000073,2026-01-13 05:31:00,C0009,P022,1,474.05,0.0,Web
ORD000074,2026-01-17 10:33:00,C0110,P031,4,1490,0.0,Marketplace
ORD000075,2026-01-22 08:13:00,C0039,P007,2,24605.0,0.05,Web
ORD000076,2026-01-08 10:52:00,C0163,P033,1,11610.0,0.1,Marketplace
ORD000077,2026-01-08 04:24:00,C0143,P026,2,12255.0,0.0,Web
ORD000078,2026-01-22 17:21:00,C0070,P017,1,1039.5,0.05,Marketplace
ORD000079,2026-01-05 10:50:00,C0005,P037,1,25900,0.1,Mobile App
ORD000080,2026-01-28 17:30:00,C0008,P019,3,4189.5,0.05,Marketplace
ORD000081,2026-01-11 02:57:00,C0061,P018,4,3591.0,0.0,Web
ORD000082,2026-01-21 18:06:00,C0147,P020,2,474.05,0.1,Marketplace
ORD000083,2026-01-17 01:19:00,C0070,P021,1,25900,0.0,Web
ORD000084,2026-01-27 07:52:00,C0132,P026,1,11610.0,0.0,Web
ORD000085,2026-01-20 05:05:00,C0145,P003,2,24605.0,0.0,Mobile App
ORD000086,2026-01-22 09:30:00,C0038,P015,4,269.1,0.0,Web
ORD000087,2026-01-25 05:31:00,C0068,P001,3,299,0.0,Web
ORD000088,2026-01-28 21:16:00,C0118,P024,2,284.05,0.1,Web
ORD000089,2026-01-26 04:55:00,C0070,P026,1,12900,0.0,Web
ORD000090,2026-01-19 00:37:00,C0083,P038,1,12900,0.0,Marketplace
ORD000091,2026-01-18 10:20:00,C0156,P037,1,25900,0.05,Mobile App
ORD000092,2026-01-16 20:33:00,C0086,P006,1,313.95,0.0,Web
ORD000093,2026-01-17 23:56:00,C0160,P013,2,523.95,0.05,Web
ORD000094,2026-01-05 03:21:00,C0014,P012,1,1039.5,0.1,Marketplace
ORD000095,2026-01-01 19:36:00,C0062,P020,2,499,0.0,Web
ORD000096,2026-01-26 20:50:00,C0090,P024,2,284.05,0.0,Mobile App
ORD000097,2026-01-16 01:11:00,C0008,P009,4,299,0.0,Marketplace
ORD000098,2026-01-14 04:53:00,C0099,P016,2,1490,0.1,Marketplace
ORD000099,2026-01-24 06:51:00,C0136,P039,3,1039.5,0.0,Mobile App
ORD000100,2026-01-05 13:19:00,C0014,P038,2,13545.0,0.0,Mobile App
ORD000101,2026-01-20 04:47:00,C0093,P034,1,284.05,0.0,Web
ORD000102,2026-01-05 07:29:00,C0078,P002,4,1341.0,0.05,Mobile App
ORD000103,2026-01-11 07:18:00,C0079,P014,1,940.5,0.1,Web
ORD000104,2026-01-13 17:48:00,C0157,P036,2,299,0.1,Marketplace
ORD000105,2026-01-07 02:25:00,C0099,P002,2,1341.0,0.1,Mobile App
ORD000106,2026-01-07 13:52:00,C0157,P008,4,474.05,0.1,Marketplace
ORD000107,2026-01-23 21:07:00,C0065,P023,2,299,0.0,Web
ORD000108,2026-01-17 22:05:00,C0138,P029,4,3990,0.0,Web
ORD000109,2026-01-19 03:38:00,C0140,P033,1,13545.0,0.0,Web
ORD000110,2026-01-27 22:29:00,C0066,P002,3,1341.0,0.0,Marketplace
ORD000111,2026-01-04 17:27:00,C0146,P008,3,449.1,0.0,Mobile App
ORD000112,2026-01-18 09:59:00,C0097,P034,2,313.95,0.05,Web
ORD000113,2026-01-03 06:56:00,C0024,P027,3,24605.0,0.0,Mobile App
ORD000114,2026-01-01 13:09:00,C0050,P014,3,1039.5,0.0,Web
ORD000115,2026-01-21 07:56:00,C0085,P009,4,313.95,0.0,Mobile App
ORD000116,2026-01-24 08:29:00,C0073,P002,4,1341.0,0.0,Web
ORD000117,2026-01-09 09:51:00,C0012,P016,1,1415.5,0.0,Marketplace
ORD000118,2026-01-21 07:02:00,C0075,P025,1,23310.0,0.05,Web
ORD000119,2026-01-25 09:48:00,C0007,P022,1,449.1,0.0,Web
ORD000120,2026-01-15 14:33:00,C0092,P020,4,499,0.0,Web
ORD000121,2026-01-05 17:34:00,C0052,P006,1,313.95,0.0,Web
ORD000122,2026-01-08 11:24:00,C0051,P010,3,891.0,0.1,Mobile App
ORD000123,2026-01-08 18:25:00,C0035,P024,1,313.95,0.0,Mobile App
ORD000124,2026-01-15 01:56:00,C0012,P007,1,27195.0,0.05,Web
ORD000125,2026-01-24 01:22:00,C0155,P003,1,25900,0.0,Web
ORD000126,2026-01-03 20:15:00,C0056,P022,1,523.95,0.05,Marketplace
ORD000127,2026-01-27 13:30:00,C0060,P040,3,3790.5,0.05,Mobile App
ORD000128,2026-01-13 09:03:00,C0138,P012,3,940.5,0.0,Mobile App
ORD000129,2026-01-24 16:44:00,C0098,P031,1,1490,0.0,Mobile App
ORD000130,2026-01-07 01:39:00,C0067,P006,2,299,0.05,Web
ORD000131,2026-01-03 03:34:00,C0101,P010,2,891.0,0.05,Marketplace
ORD000132,2026-01-28 02:40:00,C0146,P022,1,523.95,0.1,Marketplace
ORD000133,2026-01-11 15:42:00,C0078,P008,3,449.1,0.0,Marketplace
ORD000134,2026-01-08 15:18:00,C0007,P018,2,3591.0,0.05,Marketplace
ORD000135,2026-01-15 04:33:00,C0076,P027,2,25900,0.05,Mobile App
ORD000136,2026-01-18 05:28:00,C0052,P003,2,25900,0.0,Mobile App
ORD000137,2026-01-07 00:33:00,C0003,P039,2,990,0.05,Marketplace
ORD000138,2026-01-08 13:50:00,C0145,P030,1,474.05,0.1,Mobile App
ORD000139,2026-01-05 03:18:00,C0075,P016,1,1490,0.0,Web
ORD000140,2026-01-04 00:24:00,C0132,P023,1,269.1,0.05,Marketplace
ORD000141,2026-01-14 11:29:00,C0069,P011,2,23310.0,0.0,Web
ORD000142,2026-01-08 05:30:00,C0127,P010,2,891.0,0.0,Web
ORD000143,2026-01-18 23:04:00,C0133,P007,1,25900,0.05,Web
ORD000144,2026-01-24 18:59:00,C0165,P036,2,284.05,0.0,Web
ORD000145,2026-01-11 18:33:00,C0142,P009,1,313.95,0.1,Web
ORD000146,2026-01-13 00:04:00,C0096,P023,1,299,0.0,Marketplace
ORD000147,2026-01-24 10:34:00,C0114,P001,1,299,0.0,Marketplace
ORD000148,2026-01-16 20:05:00,C0121,P040,1,3591.0,0.05,Mobile App
ORD000149,2026-01-04 10:57:00,C0033,P028,1,299,0.05,Mobile App
ORD000150,2026-01-11 10:12:00,C0067,P033,2,12900,0.0,Mobile App
ORD000151,2026-01-06 02:33:00,C0004,P036,1,269.1,0.0,Mobile App
ORD000152,2026-01-20 15:01:00,C0026,P040,2,3990,0.0,Marketplace
ORD000153,2026-01-08 04:09:00,C0120,P011,1,25900,0.0,Mobile App
ORD000154,2026-01-04 03:08:00,C0047,P009,4,299,0.0,Marketplace
ORD000155,2026-01-19 06:03:00,C0130,P014,4,990,0.0,Web
ORD000156,2026-01-07 14:35:00,C0014,P001,2,269.1,0.0,Marketplace
ORD000157,2026-01-13 09:28:00,C0054,P024,1,299,0.0,Marketplace
ORD000158,2026-01-14 21:41:00,C0073,P027,1,23310.0,0.05,Web
ORD000159,2026-01-08 21:42:00,C0141,P006,1,284.05,0.05,Mobile App
ORD000160,2026-01-15 17:15:00,C0059,P014,2,990,0.0,Mobile App
ORD000161,2026-01-11 15:47:00,C0092,P012,1,891.0,0.05,Mobile App
ORD000162,2026-01-24 04:41:00,C0130,P002,2,1415.5,0.05,Mobile App
ORD000163,2026-01-24 22:34:00,C0093,P037,1,24605.0,0.1,Marketplace
ORD000164,2026-01-06 04:10:00,C0112,P033,3,11610.0,0.0,Marketplace
ORD000165,2026-01-26 09:37:00,C0002,P024,1,299,0.0,Marketplace
ORD000166,2026-01-05 14:37:00,C0001,P027,3,27195.0,0.0,Web
ORD000167,2026-01-04 15:26:00,C0151,P006,1,284.05,0.1,Web
ORD000168,2026-01-10 11:34:00,C0004,P019,3,3990,0.0,Marketplace
ORD000169,2026-01-23 15:45:00,C0073,P018,1,3591.0,0.1,Marketplace
ORD000170,2026-01-18 21:15:00,C0004,P020,1,499,0.0,Marketplace
ORD000171,2026-01-26 20:58:00,C0160,P010,2,891.0,0.0,Web
ORD000172,2026-01-20 16:52:00,C0028,P034,1,299,0.1,Mobile App
ORD000173,2026-01-03 06:14:00,C0137,P007,3,27195.0,0.0,Marketplace
ORD000174,2026-01-28 23:11:00,C0075,P018,4,3990,0.05,Marketplace
ORD000175,2026-01-26 17:56:00,C0088,P004,3,1564.5,0.0,Marketplace
ORD000176,2026-01-21 02:49:00,C0120,P025,2,27195.0,0.0,Mobile App
ORD000177,2026-01-04 02:29:00,C0015,P027,2,23310.0,0.05,Mobile App
ORD000178,2026-01-26 22:57:00,C0127,P028,4,299,0.0,Mobile App
ORD000179,2026-01-22 06:53:00,C0147,P012,4,940.5,0.05,Marketplace
ORD000180,2026-01-06 14:27:00,C0026,P021,1,23310.0,0.0,Marketplace
ORD000181,2026-01-17 22:36:00,C0078,P007,1,25900,0.0,Mobile App
ORD000182,2026-01-19 01:42:00,C0135,P025,1,23310.0,0.0,Mobile App
ORD000183,2026-01-11 14:35:00,C0044,P038,3,11610.0,0.0,Web
ORD000184,2026-01-17 11:36:00,C0154,P019,4,3790.5,0.0,Web
ORD000185,2026-01-08 11:35:00,C0140,P028,4,269.1,0.1,Mobile App
ORD000186,2026-01-11 06:19:00,C0077,P003,1,27195.0,0.0,Marketplace
ORD000187,2026-01-22 17:38:00,C0092,P039,2,990,0.0,Marketplace
ORD000188,2026-01-22 03:20:00,C0047,P031,4,1490,0.05,Marketplace
ORD000189,2026-01-09 07:30:00,C0165,P008,2,523.95,0.1,Marketplace
ORD000190,2026-01-28 04:14:00,C0129,P025,4,27195.0,0.0,Marketplace
ORD000191,2026-01-17 08:52:00,C0011,P023,1,299,0.0,Mobile App
ORD000192,2026-01-13 01:30:00,C0101,P039,1,1039.5,0.0,Web
ORD000193,2026-01-18 00:15:00,C0052,P005,2,299,0.1,Mobile App
ORD000194,2026-01-22 00:46:00,C0113,P001,1,299,0.1,Marketplace
ORD000195,2026-01-11 22:27:00,C0094,P014,2,990,0.0,Mobile App
ORD000196,2026-01-20 08:53:00,C0132,P007,1,25900,0.1,Web
ORD000197,2026-01-06 22:25:00,C0099,P002,1,1415.5,0.05,Web
ORD000198,2026-01-22 16:13:00,C0040,P012,4,990,0.1,Marketplace
ORD000199,2026-01-21 10:46:00,C0161,P010,2,891.0,0.0,Mobile App
ORD000200,2026-01-01 14:06:00,C0097,P004,2,1341.0,0.0,Mobile App
ORD000201,2026-01-22 12:04:00,C0059,P022,4,449.1,0.0,Marketplace
ORD000202,2026-01-04 08:21:00,C0019,P027,2,23310.0,0.05,Web
ORD000203,2026-01-12 15:24:00,C0083,P025,1,25900,0.0,Mobile App
ORD000204,2026-01-06 00:39:00,C0131,P036,2,313.95,0.0,Mobile App
ORD000205,2026-01-17 13:52:00,C0160,P030,4,499,0.05,Web
ORD000206,2026-01-06 21:44:00,C0008,P023,4,269.1,0.0,Web
ORD000207,2026-01-11 04:13:00,C0052,P001,1,313.95,0.0,Marketplace
ORD000208,2026-01-25 17:56:00,C0024,P037,4,23310.0,0.1,Web
ORD000209,2026-01-14 02:39:00,C0067,P006,1,284.05,0.0,Marketplace
ORD000210,2026-01-26 09:51:00,C0013,P009,1,299,0.0,Mobile App
ORD000211,2026-01-24 08:11:00,C0066,P022,2,499,0.05,Web
ORD000212,2026-01-10 23:01:00,C0071,P001,2,284.05,0.1,Marketplace
ORD000213,2026-01-17 11:40:00,C0025,P021,1,25900,0.0,Marketplace
ORD000214,2026-01-09 14:42:00,C0014,P019,2,3990,0.0,Web
ORD000215,2026-01-21 10:20:00,C0040,P036,2,299,0.05,Web
ORD000216,2026-01-28 05:31:00,C0024,P033,1,12255.0,0.0,Marketplace
ORD000217,2026-01-16 22:43:00,C0081,P028,1,284.05,0.05,Mobile App
ORD000218,2026-01-01 18:45:00,C0072,P020,3,474.05,0.1,Mobile App
ORD000219,2026-01-10 09:38:00,C0081,P021,1,27195.0,0.0,Web
ORD000220,2026-01-12 20:20:00,C0135,P037,1,24605.0,0.0,Marketplace
ORD000221,2026-01-25 21:10:00,C0157,P008,4,523.95,0.05,Marketplace
ORD000222,2026-01-23 20:37:00,C0109,P027,1,24605.0,0.1,Mobile App
ORD000223,2026-01-17 01:11:00,C0051,P014,2,940.5,0.0,Marketplace
ORD000224,2026-01-14 21:18:00,C0012,P031,1,1490,0.0,Web
ORD000225,2026-01-16 05:19:00,C0135,P025,1,23310.0,0.05,Mobile App
ORD000226,2026-01-08 17:35:00,C0064,P003,3,23310.0,0.0,Mobile App
ORD000227,2026-01-02 17:13:00,C0007,P016,1,1490,0.0,Marketplace
ORD000228,2026-01-17 20:14:00,C0053,P028,3,299,0.0,Web
ORD000229,2026-01-08 13:18:00,C0008,P017,2,940.5,0.0,Mobile App
ORD000230,2026-01-19 20:00:00,C0160,P015,4,299,0.1,Web
ORD000231,2026-01-11 10:24:00,C0033,P038,1,12900,0.0,Web
ORD000232,2026-01-08 03:01:00,C0004,P008,1,499,0.05,Marketplace
ORD000233,2026-01-18 08:14:00,C0085,P007,2,25900,0.0,Marketplace
ORD000234,2026-01-06 03:24:00,C0025,P026,2,12900,0.0,Marketplace
ORD000235,2026-01-12 09:30:00,C0087,P030,3,499,0.0,Marketplace
ORD000236,2026-01-19 05:22:00,C0068,P027,1,23310.0,0.05,Marketplace
ORD000237,2026-01-17 04:02:00,C0020,P030,3,523.95,0.1,Web
ORD000238,2026-01-10 23:15:00,C0140,P034,2,313.95,0.0,Marketplace
ORD000239,2026-01-27 08:24:00,C0044,P004,2,1490,0.0,Marketplace
ORD000240,2026-01-01 04:54:00,C0091,P018,1,3990,0.0,Mobile App
ORD000241,2026-01-24 06:52:00,C0003,P026,3,12255.0,0.0,Web
ORD000242,2026-01-08 00:54:00,C0106,P016,2,1490,0.0,Web
ORD000243,2026-01-19 16:38:00,C0129,P013,3,499,0.1,Mobile App
ORD000244,2026-01-16 14:15:00,C0153,P029,2,3990,0.05,Web
ORD000245,2026-01-11 05:18:00,C0058,P031,1,1415.5,0.1,Web
ORD000246,2026-01-12 03:50:00,C0107,P028,1,269.1,0.05,Mobile App
ORD000247,2026-01-20 00:13:00,C0025,P029,2,4189.5,0.05,Web
ORD000248,2026-01-14 08:37:00,C0144,P009,1,284.05,0.0,Mobile App
ORD000249,2026-01-04 01:05:00,C0121,P008,3,499,0.0,Web
ORD000250,2026-01-20 22:06:00,C0160,P039,3,891.0,0.05,Web
ORD000251,2026-01-10 23:16:00,C0014,P010,3,891.0,0.1,Web
ORD000252,2026-01-12 07:49:00,C0068,P020,1,449.1,0.1,Web
ORD000253,2026-01-05 12:14:00,C0139,P029,4,3990,0.1,Marketplace
ORD000254,2026-01-02 14:40:00,C0030,P012,2,990,0.0,Mobile App
ORD000255,2026-01-26 05:45:00,C0090,P010,2,940.5,0.0,Mobile App
ORD000256,2026-01-07 08:04:00,C0056,P024,4,299,0.0,Mobile App
ORD000257,2026-01-15 04:48:00,C0016,P014,1,990,0.05,Mobile App
ORD000258,2026-01-02 00:35:00,C0050,P002,4,1490,0.0,Web
ORD000259,2026-01-18 01:24:00,C0102,P039,3,1039.5,0.1,Marketplace
ORD000260,2026-01-06 12:56:00,C0151,P029,4,4189.5,0.1,Marketplace
ORD000261,2026-01-19 00:17:00,C0037,P032,1,25900,0.0,Web
ORD000262,2026-01-24 01:10:00,C0049,P013,2,499,0.0,Marketplace
ORD000263,2026-01-21 09:23:00,C0019,P019,2,3990,0.1,Mobile App
ORD000264,2026-01-15 23:38:00,C0110,P018,2,3990,0.1,Mobile App
ORD000265,2026-01-25 21:34:00,C0116,P031,2,1490,0.05,Web
ORD000266,2026-01-23 00:34:00,C0010,P037,2,24605.0,0.1,Mobile App
ORD000267,2026-01-04 08:54:00,C0164,P023,4,284.05,0.0,Marketplace
ORD000268,2026-01-13 08:12:00,C0045,P018,3,3591.0,0.0,Mobile App
ORD000269,2026-01-16 02:11:00,C0115,P012,4,1039.5,0.0,Marketplace
ORD000270,2026-01-12 19:00:00,C0087,P030,3,449.1,0.05,Web
ORD000271,2026-01-07 11:25:00,C0091,P035,2,23310.0,0.0,Web
ORD000272,2026-01-19 03:26:00,C0159,P038,1,13545.0,0.0,Mobile App
ORD000273,2026-01-12 05:23:00,C0008,P005,1,269.1,0.0,Mobile App
ORD000274,2026-01-10 19:46:00,C0157,P028,2,299,0.0,Web
ORD000275,2026-01-28 07:37:00,C0031,P032,1,23310.0,0.0,Mobile App
ORD000276,2026-01-17 00:45:00,C0163,P013,1,523.95,0.1,Marketplace
ORD000277,2026-01-08 09:08:00,C0007,P009,3,299,0.0,Marketplace
ORD000278,2026-01-09 23:49:00,C0002,P015,2,313.95,0.0,Marketplace
ORD000279,2026-01-21 01:07:00,C0004,P040,2,3990,0.0,Mobile App
ORD000280,2026-01-27 03:52:00,C0101,P004,2,1490,0.05,Web
ORD000281,2026-01-04 23:47:00,C0099,P011,1,23310.0,0.0,Mobile App
ORD000282,2026-01-18 02:19:00,C0137,P026,1,12900,0.0,Marketplace
ORD000283,2026-01-05 22:30:00,C0078,P010,2,1039.5,0.0,Web
ORD000284,2026-01-07 09:47:00,C0115,P035,3,25900,0.0,Web
ORD000285,2026-01-02 15:23:00,C0094,P025,2,27195.0,0.05,Mobile App
ORD000286,2026-01-25 11:47:00,C0106,P027,2,25900,0.05,Marketplace
ORD000287,2026-01-17 00:04:00,C0074,P026,1,12255.0,0.0,Marketplace
ORD000288,2026-01-07 04:21:00,C0005,P029,3,3990,0.0,Marketplace
ORD000289,2026-01-15 09:31:00,C0083,P029,3,3790.5,0.0,Marketplace
ORD000290,2026-01-12 13:01:00,C0038,P034,4,299,0.0,Web
ORD000291,2026-01-27 10:12:00,C0158,P036,3,299,0.1,Mobile App
ORD000292,2026-01-24 12:23:00,C0130,P013,1,474.05,0.05,Mobile App
ORD000293,2026-01-12 19:17:00,C0048,P037,3,24605.0,0.0,Web
ORD000294,2026-01-08 14:54:00,C0109,P007,1,27195.0,0.05,Mobile App
ORD000295,2026-01-04 05:04:00,C0054,P036,2,313.95,0.1,Mobile App
ORD000296,2026-01-16 06:57:00,C0104,P036,1,284.05,0.0,Marketplace
ORD000297,2026-01-15 13:14:00,C0123,P019,2,3990,0.05,Mobile App
ORD000298,2026-01-27 17:42:00,C0122,P039,2,891.0,0.1,Marketplace
ORD000299,2026-01-02 22:35:00,C0009,P021,3,24605.0,0.1,Web
ORD000300,2026-01-20 05:53:00,C0138,P009,2,269.1,0.1,Web
ORD000301,2026-01-12 08:38:00,C0013,P040,4,3990,0.0,Marketplace
ORD000302,2026-01-02 04:34:00,C0081,P026,1,11610.0,0.05,Mobile App
ORD000303,2026-01-20 15:52:00,C0101,P026,4,12900,0.0,Marketplace
ORD000304,2026-01-04 19:27:00,C0147,P009,4,313.95,0.0,Mobile App
ORD000305,2026-01-26 21:33:00,C0116,P030,1,499,0.05,Web
ORD000306,2026-01-22 16:20:00,C0126,P032,1,27195.0,0.0,Mobile App
ORD000307,2026-01-14 05:12:00,C0109,P039,3,1039.5,0.0,Web
ORD000308,2026-01-06 21:33:00,C0019,P037,4,23310.0,0.0,Marketplace
ORD000309,2026-01-16 01:10:00,C0081,P015,1,299,0.0,Marketplace
ORD000310,2026-01-13 04:56:00,C0029,P026,1,12900,0.0,Mobile App
ORD000311,2026-01-13 17:06:00,C0144,P032,3,25900,0.1,Mobile App
ORD000312,2026-01-04 13:24:00,C0011,P026,1,12900,0.0,Mobile App
