order_id,ordered_at,customer_id,product_id,qty,unit_price,discount_pct,channel
ORD000361,19/02/2026 02:59,C0124,P019,1,4189.5,5%,Web
ORD000362,20/02/2026 07:33,C0072,P039,2,940.5,5%,Web
ORD000363,08/02/2026 06:17,C0136,P014,2,940.5,5%,Mobile App
ORD000364,16/02/2026 06:58,C0077,P038,2,12900,0%,Web
ORD000365,23/02/2026 13:30,C0139,P004,2,1490,0%,Marketplace
ORD000366,14/02/2026 20:28,C0088,P004,1,1490,0%,Marketplace
ORD000367,10/02/2026 16:53,C0161,P040,3,4189.5,5%,Marketplace
ORD000368,12/02/2026 17:59,C0095,P026,-1,12900,0%,Web
ORD000369,22/02/2026 01:54,C0037,P033,3,13545.0,0%,Mobile App
ORD000370,05/02/2026 13:06,C0050,P006,2,284.05,5%,Marketplace
ORD000371,06/02/2026 02:30,C0155,P029,4,3990,0%,Web
ORD000372,03/02/2026 18:30,C0096,P025,2,27195.0,10%,Mobile App
ORD000373,05/02/2026 22:22,C0081,P028,1,269.1,5%,Marketplace
ORD000374,12/02/2026 03:57,C0101,P040,1,3591.0,0%,Web
ORD000375,16/02/2026 10:59,C0034,P008,1,474.05,5%,Web
ORD000376,26/02/2026 11:51,C0155,P027,4,27195.0,0%,Mobile App
ORD000377,18/02/2026 10:54,C0114,P014,1,891.0,0%,Web
ORD000378,03/02/2026 18:47,C0118,P002,4,1415.5,10%,Marketplace
ORD000379,26/02/2026 21:04,C0002,P010,1,1039.5,5%,Mobile App
ORD000380,04/02/2026 17:51,C0045,P026,3,11610.0,5%,Web
ORD000381,09/02/2026 10:43,C0077,P007,1,24605.0,0%,Mobile App
ORD000382,09/02/2026 09:31,C0155,P999,3,4189.5,5%,Web
ORD000383,11/02/2026 01:20,C0022,P026,4,12255.0,0%,Marketplace
ORD000384,14/02/2026 07:10,C0013,P038,1,13545.0,5%,Marketplace
ORD000385,12/02/2026 03:57,C0089,P028,4,299,0%,Web
ORD000386,20/02/2026 14:00,C0156,P016,1,1341.0,10%,Web
ORD000387,12/02/2026 10:15,C0071,P028,4,313.95,0%,Marketplace
ORD000388,22/02/2026 14:44,C0100,P018,2,3591.0,0%,Web
ORD000389,15/02/2026 15:29,C0051,P032,2,25900,0%,Marketplace
ORD000390,04/02/2026 07:56,C0159,P026,3,11610.0,0%,Mobile App
ORD000391,18/02/2026 08:58,C0101,P020,2,449.1,0%,Mobile App
ORD000392,26/02/2026 06:39,C0107,P023,1,269.1,0%,Mobile App
ORD000393,08/02/2026 21:28,C0075,P022,1,449.1,0%,Marketplace
ORD000394,06/02/2026 06:54,C0015,P007,2,24605.0,10%,Web
ORD000395,12/02/2026 15:38,C0008,P020,1,499,0%,Web
ORD000396,13/02/2026 07:26,C0019,P026,3,12900,10%,Marketplace
ORD000397,06/02/2026 11:40,C0015,P040,2,3990,10%,Marketplace
